prefecture,rank,yen_2014,usd_2014,percent
Japan,,514296000,4990640,101.0
Tokyo,1,94902100,920914,18.453
Osaka,2,37934000,368105,7.376
Aichi,3,35990300,349244,6.998
Kanagawa,4,30322000,294240,5.896
Saitama,5,20914400,202950,4.067
Chiba,6,20044900,194513,3.898
Hyogo,7,19788100,192020,3.848
Hokkaido,8,18484600,179372,3.594
Fukuoka,9,18112200,175757,3.5220000000000002
Shizuoka,10,15442500,149852,3.003
Ibaraki,11,11612400,112685,2.258
Hiroshima,12,11237900,109051,2.185
Kyoto,13,10053800,97560,1.955
Miyagi,14,8895850,86324,1.73
Niigata,15,8699070,84414,1.691
Tochigi,16,8182900,79406,1.591
Gunma,17,8005480,77684,1.557
Nagano,18,7886950,76534,1.534
Mie,19,7656380,74296,1.4889999999999999
Fukushima,20,7399860,71807,1.439
Okayama,21,7242770,70289,1.408
Gifu,22,7208830,69953,1.4020000000000001
Yamaguchi,23,5969040,57923,1.161
Shiga,24,5845870,56727,1.137
Kumamoto,25,5599930,54341,1.089
Kagoshima,26,5330340,51725,1.036
Ehime,27,4756500,46156,0.925
Iwate,28,4647040,45094,0.904
Ishikawa,29,4588050,44522,0.892
Toyama,30,4452550,43207,0.866
Aomori,31,4427910,42968,0.861
Nagasaki,32,4310310,41827,0.838
Oita,33,4142640,40200,0.805
Okinawa,34,4051060,39311,0.788
Yamagata,35,3754560,36434,0.73
Kagawa,36,3672270,35635,0.714
Miyazaki,37,3643440,35355,0.708
Wakayama,38,3579030,34730,0.6960000000000001
Nara,39,3540710,34359,0.6880000000000001
Akita,40,3458570,33561,0.672
Fukui,41,3129990,30373,0.609
Yamanashi,42,3118690,30263,0.606
Tokushima,43,3012330,29231,0.586
Saga,44,2737220,26562,0.532
Shimane,45,2382270,23117,0.463
Kochi,46,2349510,22799,0.457
Tottori,47,1779180,17265,0.34600000000000003
